CMTE_ID,Leadership Pacs,Sponsor Name,PAC Name,Committee Designation,AMNDT_IND,RPT_TP,TRANSACTION_PGI,IMAGE_NUM,TRANSACTION_TP,ENTITY_TP,NAME,CITY,STATE,ZIP_CODE,EMPLOYER,OCCUPATION,TRANSACTION_DT,TRANSACTION_AMT,OTHER_ID,CAND_ID,Candidate Name,TRAN_ID,FILE_NUM,MEMO_CD,MEMO_TEXT,SUB_ID
C00826685,A LOVE SUPREME PAC,"FROST, MAXWELL",A LOVE SUPREME PAC,D,N,M6,P2026,2.02606E+17,24K,CCM,SAM FOR MONTANA,MISSOULA,MT,598077224,,,5282026,2000,C00932822,H6MT01137,"FORSTAG, SAMUEL KELLEY",500481576,1985884,,,4.07132E+18
C00531764,A NEW NATION PAC,"WAGNER, ANN L.",A NEW NATION PAC,D,N,Q2,G2026,2.02607E+17,24K,CCM,FLINT FOR MONTANA,KALISPELL,MT,599012142,,,6242026,1000,C00941575,H6MT01152,"FLINT, AARON",B55F1CE5A34AE4A8C9E3,1994339,,,4.07282E+18
C00531764,A NEW NATION PAC,"WAGNER, ANN L.",A NEW NATION PAC,D,N,Q1,P2026,2.02504E+17,24K,CCM,TROY DOWNING FOR CONGRESS,HELENA,MT,59624,,,3202025,2500,C00855288,H4MT02098,"DOWNING, TROY",BA7DBF90348B94C8CB03,1886946,,,4.04172E+18
C00631051,ABRAHAM LINCOLN PAC,"LAHOOD, DARIN MCKAY",ABRAHAM LINCOLN PAC,D,N,M6,P2026,2.02606E+17,24K,CCM,FLINT FOR MONTANA,KALISPELL,MT,599012142,,,5202026,2500,C00941575,H6MT01152,"FLINT, AARON",BBD088DCCBA5948A294E,1984448,,,4.07122E+18
C00821058,ALABAMA FIRST PAC,"BRITT, KATIE BOYD",ALABAMA FIRST PAC,D,N,Q1,G2026,2.02604E+17,24K,CCM,ALME FOR SENATE,ALEXANDRIA,VA,22314,,,3112026,5000,C00942060,S6MT00295,"ALME, KURT",B916DE127EEF14F9AA0A,1963653,,,4.05112E+18
C00821058,ALABAMA FIRST PAC,"BRITT, KATIE BOYD",ALABAMA FIRST PAC,D,N,Q1,P2026,2.02604E+17,24K,CCM,ALME FOR SENATE,ALEXANDRIA,VA,22314,,,3112026,5000,C00942060,S6MT00295,"ALME, KURT",BD498106FA6FE4B3FBC1,1963653,,,4.05112E+18
C00387464,ALAMO PAC,"CORNYN, JOHN",ALAMO PAC,D,N,Q1,P2026,2.02604E+17,24K,CCM,ALME FOR SENATE,WASHINGTON,DC,20003,,,3162026,5000,C00942060,S6MT00295,"ALME, KURT",SB23.2,1962465,,,4.04222E+18
C00832501,AMERICAN EXCELLENCE PAC,"RICKETTS, PETE",AMERICAN EXCELLENCE PAC,D,N,Q1,G2026,2.02604E+17,24K,CCM,ALME FOR SENATE,ALEXANDRIA,VA,22314,,,3132026,5000,C00942060,S6MT00295,"ALME, KURT",B091BA2B1DA9C4EA8A10,1966617,,,4.04302E+18
C00832501,AMERICAN EXCELLENCE PAC,"RICKETTS, PETE",AMERICAN EXCELLENCE PAC,D,N,Q1,P2026,2.02604E+17,24K,CCM,ALME FOR SENATE,ALEXANDRIA,VA,22314,,,3132026,5000,C00942060,S6MT00295,"ALME, KURT",B6DABF180036546C5864,1966617,,,4.04302E+18
C00883413,AMERICA'S MOUNTAIN PAC,"CRANK, JEFF",AMERICA'S MOUNTAIN PAC,D,N,MY,P2026,2.02507E+17,24K,CCM,TROY DOWNING FOR CONGRESS,BILLINGS,MT,59104,,,6262025,3500,C00855288,H4MT02098,"DOWNING, TROY",SB23.1071415,1909257,,,4.08122E+18
