CMTE_ID,PAC,SPONSOR_NAME,AMOUNT,PARTY
C00542027,BIG SKY OPPORTUNITY PAC,0,30000.00,R
C00028787,NATIONAL CATTLEMEN'S BEEF ASSOCIATION POLITICAL ACTION COMMITTEE (NCBA-PAC),0,20000.00,R
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,0,20000.00,R
C00570226,SEAL PAC SUPPORTING ELECTING AMERICAN LEADERS PAC,0,20000.00,R
C00592089,ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS PAC,0,20000.00,R
C00845099,SEND IN THE SEAL PAC,0,20000.00,R
C00077321,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION COMMITTEE,0,17500.00,R
C00199711,HEALTH CARE SERVICE CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,0,17500.00,R
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,0,17000.00,R
C00186064,"FEDERAL BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC. (PNC",0,15000.00,R
C00467431,THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE,0,15000.00,R
C00792127,FAIR ISAAC CORPORATION POLITICAL ACTION COMMITTEE (FICO PAC),0,15000.00,R
C00022343,"INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE (INSURPAC)",0,13500.00,R
C00227744,ERNST & YOUNG POLITICAL ACTION COMMITTEE,0,13000.00,R
C00280222,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,0,13000.00,R
C00000729,AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE,0,12500.00,R
C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),0,12500.00,R
C00158881,NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,0,12500.00,R
C00236489,"KOCH, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)",0,12500.00,R
C00149104,CHS INC. POLITICAL ACTION COMMITTEE,0,11000.00,R
C00165159,REPUBLICAN MAINSTREET PARTNERSHIP PAC,0,11000.00,R
C00388827,ROCKET LIMITED PARTNERSHIP PAC (ROCKET PAC),0,10500.00,R
C00000901,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),0,10000.00,R
C00002089,COMMUNICATIONS WORKERS OF AMERICA - COPE POLITICAL CONTRIBUTIONS COMMITTEE,0,10000.00,D
C00002469,MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,0,10000.00,D
C00039578,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,0,10000.00,R
C00040998,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,0,10000.00,R
C00110338,AMERICAN CRYSTAL SUGAR COMPANY POLITICAL ACTION COMMITTEE,0,10000.00,R
C00122101,SAFARI CLUB INTERNATIONAL PAC (SCI-PAC),0,10000.00,R
C00126763,NATIONAL ASSOCIATION OF CONVENIENCE STORES POLITICAL ACTION COMMITTEE,0,10000.00,R
C00164145,UNITED SERVICES AUTOMOBILE ASSOCIATION EMPLOYEE PAC - USAA EMPLOYEE PAC,0,10000.00,R
C00170258,NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES PAC,0,10000.00,R
C00211318,DELOITTE POLITICAL ACTION COMMITTEE,0,10000.00,R
C00296640,REPUBLICAN MAJORITY FUND,0,10000.00,R
C00328211,MAX'S PAC,0,10000.00,I
C00345132,REPUBLICAN JEWISH COALITION POLITICAL ACTION COMMITTEE (RJC-PAC),0,10000.00,R
C00390674,FREEDOM FUND,Michael Crapo,10000.00,R
C00403592,NARRAGANSETT BAY PAC,John Reed,10000.00,I
C00404392,CONSERVATIVE OPPORTUNITY LEADERSHIP AND ENTERPRISE PAC,0,10000.00,R
C00406553,PROGRESSIVE VOTERS OF AMERICA,Bernard Sanders,10000.00,D
C00409003,HEARTLAND VALUES PAC,0,10000.00,R
C00413948,ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC),John Boozman,10000.00,R
C00433680,TREASURE STATE PAC,R. Jon Tester,10000.00,I
C00442368,COMMON VALUES PAC,John Barrasso,10000.00,R
C00489336,WILD AND WONDERFUL PAC,Shelley Capito,10000.00,R
C00492058,LEADERSHIP AND ACCOUNTABILITY ARE NATIONAL KEYS PAC,0,10000.00,R
C00493221,THE GUARDIAN FUND,0,10000.00,R
C00495887,TOMORROW IS MEANINGFUL PAC,Timothy E. Scott,10000.00,R
C00497073,LOBO PAC,Martin Heinrich,5000.00,D
C00497073,LOBO PAC,Martin Heinrich,5000.00,I
C00513176,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,0,10000.00,D
