CMTE_ID,PAC_NAME,SPONSOR_NAME,TOTAL_TRANSACTIONS
C00028787,NATIONAL CATTLEMEN'S BEEF ASSOCIATION POLITICAL ACTION COMMITTEE (NCBA-PAC),#N/A,20000.00
C00570226,SEAL PAC SUPPORTING ELECTING AMERICAN LEADERS PAC,#N/A,20000.00
C00845099,SEND IN THE SEAL PAC,#N/A,20000.00
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,#N/A,20000.00
C00077321,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION COMMITTEE,#N/A,17500.00
C00199711,HEALTH CARE SERVICE CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,#N/A,17500.00
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,#N/A,17000.00
C00792127,FAIR ISAAC CORPORATION POLITICAL ACTION COMMITTEE (FICO PAC),#N/A,15000.00
C00186064,"FEDERAL BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC. (PNC",#N/A,15000.00
C00022343,"INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE (INSURPAC)",#N/A,13500.00
C00227744,ERNST & YOUNG POLITICAL ACTION COMMITTEE,#N/A,13000.00
C00280222,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,#N/A,13000.00
C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),#N/A,12500.00
C00000729,AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE,#N/A,12500.00
C00236489,"KOCH, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)",#N/A,12500.00
C00158881,NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,#N/A,12500.00
C00149104,CHS INC. POLITICAL ACTION COMMITTEE,#N/A,11000.00
C00165159,REPUBLICAN MAINSTREET PARTNERSHIP PAC,#N/A,11000.00
C00388827,ROCKET LIMITED PARTNERSHIP PAC (ROCKET PAC),#N/A,10500.00
C00252940,LEAGUE OF CONSERVATION VOTERS ACTION FUND,#N/A,10075.00
C00110338,AMERICAN CRYSTAL SUGAR COMPANY POLITICAL ACTION COMMITTEE,#N/A,10000.00
C00639229,AMERICAN REVIVAL PAC,#N/A,10000.00
C00000901,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),#N/A,10000.00
C00002089,COMMUNICATIONS WORKERS OF AMERICA - COPE POLITICAL CONTRIBUTIONS COMMITTEE,#N/A,10000.00
C00513176,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,#N/A,10000.00
C00211318,DELOITTE POLITICAL ACTION COMMITTEE,#N/A,10000.00
C00771972,HEARTLAND PATRIOTS,#N/A,10000.00
C00005157,INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND,#N/A,10000.00
C00492058,LEADERSHIP AND ACCOUNTABILITY ARE NATIONAL KEYS PAC,#N/A,10000.00
C00002469,MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,#N/A,10000.00
C00328211,MAX'S PAC,#N/A,10000.00
C00126763,NATIONAL ASSOCIATION OF CONVENIENCE STORES POLITICAL ACTION COMMITTEE,#N/A,10000.00
C00170258,NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES PAC,#N/A,10000.00
C00040998,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,#N/A,10000.00
C00629709,NO LABELS PAC,#N/A,10000.00
